Periodo,Mes,Departamento,Municipio,Bandera,Producto,Precio,Estado
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,BIODIESEL EXTRA,8959,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,GASOLINA CORRIENTE OXIGENADA,8879,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9645,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,16320,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9657,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9645,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,16720,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9657,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9460,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,16380,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9590,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,16780,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9460,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9590,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9690,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9740,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9740,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,16340,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,16740,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9690,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9100,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,8880,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,9848,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,8729,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,9848,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,8709,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,GASOLINA CORRIENTE OXIGENADA,8970,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,GASOLINA EXTRA OXIGENADA,16010,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,BIODIESEL EXTRA,8980,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PETROBRAS,BIODIESEL EXTRA,8639,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PETROBRAS,GASOLINA CORRIENTE OXIGENADA,8749,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PETROBRAS,GASOLINA EXTRA OXIGENADA,16130,A
